,ODO % sat_chesa,ODO mg/L_chesa,Temp °C_chesa,SpCond µS/cm_chesa,Turbidity NTU_chesa,pH_chesa,ORP mV_chesa,Depth m_chesa,ODO % sat_charl,ODO mg/L_charl,Temp °C_charl,SpCond µS/cm_charl,Turbidity NTU_charl,pH_charl,ORP mV_charl,Depth m_charl,Discharge,Gage height
2018-01-26 12:00:00,118.13333333333333,15.479999999999999,3.171666666666667,170.85,9.548333333333334,6.476666666666667,319.01666666666665,1.0,101.73333333333333,6.0,3.1766666666666663,154.78333333333333,8.263333333333334,6.746666666666666,166.21666666666667,1.0,12225.0,18.618750000000002
2018-01-26 18:00:00,119.48333333333333,15.551666666666668,3.42,170.28333333333333,9.63,6.515,320.55,1.0,102.68333333333334,6.026666666666667,3.5066666666666664,154.21666666666667,8.178333333333333,6.863333333333332,172.01666666666668,1.0,10445.416666666666,18.529999999999998
2018-01-27 00:00:00,118.98333333333333,15.536666666666667,3.301666666666667,168.93333333333334,9.723333333333334,6.446666666666666,325.6166666666666,1.0,102.66666666666667,6.035,3.5016666666666665,153.96666666666667,7.591666666666666,6.696666666666666,168.00000000000003,1.0,11266.666666666666,18.331249999999997
2018-01-27 06:00:00,118.95,15.561666666666666,3.231666666666667,167.93333333333334,9.518333333333333,6.405,329.31666666666666,1.0,103.33333333333333,6.095,3.4433333333333334,153.66666666666666,7.266666666666667,6.686666666666667,170.29999999999998,1.0,9885.0,18.42
2018-01-27 12:00:00,120.38333333333333,15.71,3.328333333333333,171.35000000000002,9.245,6.448333333333333,330.1,1.0,103.38333333333333,6.121666666666666,3.3533333333333335,153.3666666666667,7.260000000000001,6.705000000000001,172.60000000000002,1.0,9587.916666666666,18.565416666666664
2018-01-27 18:00:00,121.63333333333333,15.753333333333336,3.611666666666667,173.26666666666665,9.711666666666666,6.526666666666666,328.96666666666664,1.0,104.21666666666668,6.113333333333333,3.608333333333333,153.85,7.098333333333334,6.735,175.78333333333333,1.0,9918.75,18.642500000000005
2018-01-28 00:00:00,120.69999999999999,15.666666666666666,3.5316666666666676,172.9333333333333,9.266666666666667,6.491666666666667,332.4833333333333,1.0,104.11666666666667,6.125,3.6166666666666667,153.46666666666667,6.831666666666668,6.6816666666666675,178.98333333333335,1.0,10679.166666666666,18.53
2018-01-28 06:00:00,120.35000000000001,15.656666666666668,3.4433333333333334,175.66666666666666,9.345,6.456666666666667,334.9166666666667,1.0,104.71666666666665,5.911666666666666,3.766666666666667,159.1,7.133333333333333,6.683333333333333,181.33333333333334,1.0,10621.25,18.368749999999995
2018-01-28 12:00:00,121.8,15.821666666666665,3.5033333333333334,179.88333333333335,9.854999999999999,6.481666666666666,336.84999999999997,1.0,105.21666666666665,5.5183333333333335,3.91,169.6,9.215000000000002,6.698333333333333,183.23333333333335,1.0,9499.583333333334,18.658333333333335
2018-01-28 18:00:00,122.55,15.831666666666665,3.705,185.08333333333334,9.363333333333335,6.555,336.8333333333333,1.0,105.44999999999999,5.536666666666666,3.9749999999999996,169.19999999999996,7.745,6.716666666666666,186.4333333333333,1.0,13008.333333333334,18.621250000000003
